trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.995, 'e': 0.7328768546436798}",20,0,-71.43005220328291,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.995, 'e': 0.7292124703704614}",30,0,-142.83601499664786,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
65,False,"{'a': 0.995, 'e': 0.7255664080186092}",20,0,24.02114822176191,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.995, 'e': 0.7219385759785161}",25,0,-117.69352568710256,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
67,False,"{'a': 0.995, 'e': 0.7183288830986235}",25,0,-69.76854711711704,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.995, 'e': 0.7147372386831303}",25,0,-105.21654511194224,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.995, 'e': 0.7111635524897147}",20,0,-57.66182858617928,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
70,False,"{'a': 0.995, 'e': 0.7076077347272661}",30,0,-163.87270601024844,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
71,False,"{'a': 0.995, 'e': 0.7040696960536298}",25,0,-60.08238778342094,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
72,False,"{'a': 0.995, 'e': 0.7005493475733616}",30,0,-37.383577789282015,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.995, 'e': 0.6970466008354949}",20,16,6.204121925768013,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.995, 'e': 0.6935613678313174}",20,0,-82.12137519676594,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.995, 'e': 0.6900935609921608}",20,0,2.6657830449508877,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
